NonTerminal, $,sign,{,int,boolean,mullop,else,float,addop,if,while,id,num,relop,(,},assign,;,",",),
FACTOR???,,,,,,FACTOR??? ---> sync ,,,FACTOR??? ---> sync ,,,,,FACTOR??? ---> relop SIMPLE_EXPRESSION ) ,,,,FACTOR??? ---> sync ,,FACTOR??? ---> ) ,
FACTOR??,,,,,,FACTOR?? ---> sync ,,,FACTOR?? ---> sync ,,,,,FACTOR?? ---> relop SIMPLE_EXPRESSION ) ,,,,FACTOR?? ---> sync ,,FACTOR?? ---> ) ,
WHILE??,WHILE?? ---> sync ,,,WHILE?? ---> int id ; } else { STATEMENT } } ,,,,WHILE?? ---> float id ; } else { STATEMENT } } ,,WHILE?? ---> IF } else { STATEMENT } } ,WHILE?? ---> WHILE } else { STATEMENT } } ,WHILE?? ---> ASSIGNMENT } else { STATEMENT } } ,,,,WHILE?? ---> sync ,,,,,
EXPRESSION?,,,,,,,,,,,,,,EXPRESSION? ---> relop SIMPLE_EXPRESSION ,,,,EXPRESSION? ---> Epsilon ,,EXPRESSION? ---> Epsilon ,
WHILE?,WHILE? ---> sync ,,,WHILE? ---> int id ; } ,,,,WHILE? ---> float id ; } ,,WHILE? ---> if ( EXPRESSION ) { WHILE?? ,WHILE? ---> WHILE } ,WHILE? ---> ASSIGNMENT } ,,,,WHILE? ---> sync ,,,,,
SIGN,,SIGN ---> sign ,,,,,,,,,,SIGN ---> sync ,SIGN ---> sync ,,SIGN ---> sync ,,,,,,
STATEMENT,STATEMENT ---> sync ,,,STATEMENT ---> DECLARATION ,,,,STATEMENT ---> DECLARATION ,,STATEMENT ---> IF ,STATEMENT ---> WHILE ,STATEMENT ---> ASSIGNMENT ,,,,STATEMENT ---> sync ,,,,,
DECLARATION,DECLARATION ---> sync ,,,DECLARATION ---> PRIMITIVE_TYPE id ; ,,,,DECLARATION ---> PRIMITIVE_TYPE id ; ,,DECLARATION ---> sync ,DECLARATION ---> sync ,DECLARATION ---> sync ,,,,DECLARATION ---> sync ,,,,,
METHOD_BODY,METHOD_BODY ---> sync ,,,METHOD_BODY ---> STATEMENT_LIST ,,,,METHOD_BODY ---> STATEMENT_LIST ,,METHOD_BODY ---> STATEMENT_LIST ,METHOD_BODY ---> STATEMENT_LIST ,METHOD_BODY ---> STATEMENT_LIST ,,,,,,,,,
STATEMENT_LIST,STATEMENT_LIST ---> sync ,,,STATEMENT_LIST ---> STATEMENT STATEMENT_LIST# ,,,,STATEMENT_LIST ---> STATEMENT STATEMENT_LIST# ,,STATEMENT_LIST ---> STATEMENT STATEMENT_LIST# ,STATEMENT_LIST ---> STATEMENT STATEMENT_LIST# ,STATEMENT_LIST ---> STATEMENT STATEMENT_LIST# ,,,,,,,,,
IF,IF ---> sync ,,,IF ---> sync ,,,,IF ---> sync ,,IF ---> if ( EXPRESSION ) { IF? ,IF ---> sync ,IF ---> sync ,,,,IF ---> sync ,,,,,
PRIMITIVE_TYPE,,,,PRIMITIVE_TYPE ---> int ,,,,PRIMITIVE_TYPE ---> float ,,,,PRIMITIVE_TYPE ---> sync ,,,,,,,,,
SIMPLE_EXPRESSION#,,,,,,,,,SIMPLE_EXPRESSION# ---> addop TERM SIMPLE_EXPRESSION# ,,,,,SIMPLE_EXPRESSION# ---> Epsilon ,,,,SIMPLE_EXPRESSION# ---> Epsilon ,,SIMPLE_EXPRESSION# ---> Epsilon ,
STATEMENT_LIST#,STATEMENT_LIST# ---> Epsilon ,,,STATEMENT_LIST# ---> STATEMENT STATEMENT_LIST# ,,,,STATEMENT_LIST# ---> STATEMENT STATEMENT_LIST# ,,STATEMENT_LIST# ---> STATEMENT STATEMENT_LIST# ,STATEMENT_LIST# ---> STATEMENT STATEMENT_LIST# ,STATEMENT_LIST# ---> STATEMENT STATEMENT_LIST# ,,,,,,,,,
WHILE,WHILE ---> sync ,,,WHILE ---> sync ,,,,WHILE ---> sync ,,WHILE ---> sync ,WHILE ---> while ( EXPRESSION ) { WHILE? ,WHILE ---> sync ,,,,WHILE ---> sync ,,,,,
IF?,IF? ---> sync ,,,IF? ---> int id ; } else { STATEMENT } ,,,,IF? ---> float id ; } else { STATEMENT } ,,IF? ---> IF } else { STATEMENT } ,IF? ---> WHILE } else { STATEMENT } ,IF? ---> ASSIGNMENT } else { STATEMENT } ,,,,IF? ---> sync ,,,,,
ASSIGNMENT,ASSIGNMENT ---> sync ,,,ASSIGNMENT ---> sync ,,,,ASSIGNMENT ---> sync ,,ASSIGNMENT ---> sync ,ASSIGNMENT ---> sync ,ASSIGNMENT ---> id assign EXPRESSION ; ,,,,ASSIGNMENT ---> sync ,,,,,
FACTOR?,,FACTOR? ---> SIGN FACTOR TERM# SIMPLE_EXPRESSION# FACTOR??? ,,,,FACTOR? ---> sync ,,,FACTOR? ---> sync ,,,FACTOR? ---> FACTOR TERM# SIMPLE_EXPRESSION# FACTOR?? ,FACTOR? ---> FACTOR TERM# SIMPLE_EXPRESSION# FACTOR?? ,FACTOR? ---> sync ,FACTOR? ---> FACTOR TERM# SIMPLE_EXPRESSION# FACTOR?? ,,,FACTOR? ---> sync ,,FACTOR? ---> sync ,
EXPRESSION,,EXPRESSION ---> SIMPLE_EXPRESSION EXPRESSION? ,,,,,,,,,,EXPRESSION ---> SIMPLE_EXPRESSION EXPRESSION? ,EXPRESSION ---> SIMPLE_EXPRESSION EXPRESSION? ,,EXPRESSION ---> SIMPLE_EXPRESSION EXPRESSION? ,,,EXPRESSION ---> sync ,,EXPRESSION ---> sync ,
TERM,,,,,,,,,TERM ---> sync ,,,TERM ---> FACTOR TERM# ,TERM ---> FACTOR TERM# ,TERM ---> sync ,TERM ---> FACTOR TERM# ,,,TERM ---> sync ,,TERM ---> sync ,
SIMPLE_EXPRESSION,,SIMPLE_EXPRESSION ---> SIGN TERM SIMPLE_EXPRESSION# ,,,,,,,,,,SIMPLE_EXPRESSION ---> TERM SIMPLE_EXPRESSION# ,SIMPLE_EXPRESSION ---> TERM SIMPLE_EXPRESSION# ,SIMPLE_EXPRESSION ---> sync ,SIMPLE_EXPRESSION ---> TERM SIMPLE_EXPRESSION# ,,,SIMPLE_EXPRESSION ---> sync ,,SIMPLE_EXPRESSION ---> sync ,
TERM#,,,,,,TERM# ---> mullop FACTOR TERM# ,,,TERM# ---> Epsilon ,,,,,TERM# ---> Epsilon ,,,,TERM# ---> Epsilon ,,TERM# ---> Epsilon ,
FACTOR,,,,,,FACTOR ---> sync ,,,FACTOR ---> sync ,,,FACTOR ---> id ,FACTOR ---> num ,FACTOR ---> sync ,FACTOR ---> ( FACTOR? ,,,FACTOR ---> sync ,,FACTOR ---> sync ,
